idade,sexo,estado,presença,cargo,especialidade,algoritmos_e_estruturas_de_dados,analise_combinatoria,analise_de_algoritmos,arquitetura_e_organizacao_de_computadores,banco_de_dados,calculo_diferencial_e_integral,circuitos_digitais,compiladores,computacao_grafica,engenharia_de_software,geometria_analitica,inteligencia_artificial,linguagens_de_programacao,linguagens_formais_automatos_e_computabilidade,logica_matematica,matematica_discreta,organizacao_de_arquivos_e_dados,probabilidade_e_estatistica,processamento_de_imagens,redes_de_computadores,sistemas_distribuidos,sistemas_operacionais,teoria_dos_grafos,tecnicas_de_programacao,algebra_linear,ano,matematica,fund_computacao,tec_computacao
1987-01-13,masculino,mg,s,mestrado/doutorado,banco de dados,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2016,6.0,11.0,8.0
1990-06-22,masculino,sp,s,mestrado/doutorado,visão computacional,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,3.0,2016,7.0,14.0,4.0
1994-11-23,feminino,pa,s,mestrado/doutorado,bioinformática,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,2016,8.0,15.0,6.0
1967-06-30,masculino,pr,s,mestrado/doutorado,redes de computadores,0.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2016,10.0,13.0,4.0
1986-10-30,masculino,pb,s,mestrado/doutorado,metodologias e técnicas de computação,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2016,4.0,15.0,4.0
1979-12-31,masculino,pi,s,mestrado/doutorado,sistemas de computação,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2016,5.0,15.0,3.0
1995-05-14,masculino,pa,s,mestrado/doutorado,sistemas inteligentes,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,2016,7.0,11.0,8.0
1995-04-17,masculino,ma,s,mestrado/doutorado,computação aplicada,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,2016,4.0,14.0,5.0
1994-09-14,feminino,ms,s,mestrado/doutorado,computação gráfica,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,2016,7.0,16.0,4.0
1986-12-04,masculino,pr,s,mestrado/doutorado,engenharia de software,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2016,6.0,16.0,12.0
1990-06-20,masculino,pr,s,mestrado/doutorado,engenharia de software,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,2016,7.0,13.0,8.0
1986-11-07,masculino,sp,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1986-05-15,masculino,mg,n,mestrado/doutorado,sistemas e tecnologias da computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1989-11-14,masculino,mg,s,mestrado/doutorado,metodologias e técnicas de computação,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,2016,6.0,12.0,5.0
1987-06-24,masculino,ma,s,mestrado/doutorado,aplicações computacionais,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,2016,7.0,13.0,12.0
1995-02-26,masculino,go,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1983-07-13,masculino,mg,n,mestrado/doutorado,aplicações computacionais,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1989-08-23,masculino,ms,s,mestrado/doutorado,teoria da computação,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,2016,5.0,13.0,4.0
1991-06-13,masculino,am,s,mestrado/doutorado,engenharia de software,2.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2016,5.0,15.0,2.0
1993-04-23,masculino,pr,n,mestrado/doutorado,aprendizado de máquina,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1995-10-12,masculino,ce,s,mestrado/doutorado,visão computacional,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2016,13.0,17.0,9.0
1977-03-02,masculino,ms,s,mestrado/doutorado,engenharia de software,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2016,7.0,13.0,6.0
1994-11-17,masculino,mt,s,mestrado/doutorado,redes de computadores,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2016,6.0,17.0,7.0
1996-07-04,masculino,sp,s,mestrado/doutorado,bioinformática,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2016,8.0,15.0,8.0
1993-12-22,feminino,se,s,mestrado/doutorado,sistemas inteligentes,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2016,8.0,12.0,10.0
1991-10-14,feminino,al,s,mestrado/doutorado,sistemas de computação,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,2016,8.0,11.0,8.0
1991-09-30,masculino,rj,s,mestrado/doutorado,Demais áreas,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2016,11.0,12.0,6.0
1965-04-13,masculino,pe,s,mestrado/doutorado,computação visual,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2016,8.0,12.0,3.0
1985-02-05,masculino,sp,s,mestrado/doutorado,ciência de dados,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2016,5.0,8.0,9.0
1994-03-28,masculino,sp,n,mestrado/doutorado,inteligência artificial,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1987-09-04,feminino,pi,s,mestrado/doutorado,computação gráfica,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2016,5.0,10.0,5.0
1990-02-15,masculino,pb,s,mestrado/doutorado,sistemas de computação,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,2016,5.0,16.0,5.0
1987-09-01,masculino,se,n,mestrado/doutorado,sistemas inteligentes,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1987-11-24,masculino,pa,s,mestrado/doutorado,sistemas embarcados,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2016,7.0,17.0,8.0
1988-01-30,masculino,sp,s,mestrado/doutorado,bioinformática,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2016,8.0,13.0,10.0
1986-11-08,feminino,ma,s,mestrado/doutorado,sistemas de computação,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2016,7.0,9.0,6.0
1975-06-09,masculino,sp,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1995-02-02,masculino,sp,s,mestrado/doutorado,sistemas de informação,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,2016,6.0,13.0,7.0
1995-08-01,masculino,mg,n,mestrado/doutorado,aplicações computacionais,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1988-03-31,masculino,go,s,mestrado/doutorado,engenharia de software,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2016,6.0,15.0,11.0
1986-04-12,masculino,mg,n,mestrado/doutorado,inteligência artificial,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1994-04-12,masculino,sc,s,mestrado/doutorado,otimização,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2016,8.0,14.0,6.0
1992-09-18,feminino,sp,s,mestrado/doutorado,Demais áreas,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2016,10.0,11.0,5.0
